n,t,v,q,pwm,fa
31,0.62,"[-0.00883, 9.06e-17, -7.7]","[0.999, -3.5e-16, -0.0497, 5.02e-17]","[1.45e+03, 1e+03, 1.45e+03, 1e+03]","[32.5, 6.93e-15, 25.5]"
32,0.64,"[-0.0147, 7.56e-17, -7.52]","[1, -3.64e-16, -0.0192, 4.48e-17]","[1.49e+03, 1e+03, 1.49e+03, 1e+03]","[38.9, 8.63e-15, 26]"
33,0.66,"[-0.0246, 5.47e-17, -7.36]","[1, -3.78e-16, 0.017, 3.74e-17]","[1e+03, 1.27e+03, 1e+03, 1.27e+03]","[38.2, 8.45e-15, 28.1]"
34,0.68,"[-0.0381, 4.06e-17, -7.18]","[0.999, -4e-16, 0.0502, 3.08e-17]","[1e+03, 1.29e+03, 1e+03, 1.29e+03]","[31.3, 1.25e-14, 32.4]"
35,0.7,"[-0.055, 3.04e-17, -6.99]","[0.997, -4.25e-16, 0.0797, 2.56e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[24.8, 8.16e-15, 30]"
36,0.72,"[-0.0889, -4.88e-17, -6.88]","[0.995, -4.45e-16, 0.101, 2.4e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[11.7, -3.06e-16, 26.8]"
37,0.74,"[-0.12, -1.01e-16, -6.74]","[0.993, -4.47e-16, 0.118, 2.19e-17]","[1e+03, 1.13e+03, 1e+03, 1.13e+03]","[14.4, -3.9e-14, 32.4]"
38,0.76,"[-0.152, -1.42e-16, -6.59]","[0.991, -4.18e-16, 0.136, 1.35e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[8.91, -4.83e-14, 24.6]"
39,0.78,"[-0.205, -2.31e-16, -6.5]","[0.989, -3.83e-16, 0.145, 8e-18]","[2e+03, 1e+03, 2e+03, 1e+03]","[-1.21, -4.91e-14, 22.9]"
40,0.8,"[-0.251, -2.89e-16, -6.38]","[0.988, -3.38e-16, 0.153, 5.4e-19]","[1e+03, 1e+03, 1e+03, 1e+03]","[6.38, -6.2e-14, 30.3]"
41,0.82,"[-0.278, -2.99e-16, -6.2]","[0.986, -2.84e-16, 0.168, -1.16e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[6.47, -6.11e-14, 28.2]"
42,0.84,"[-0.34, -3.5e-16, -6.11]","[0.984, -2.3e-16, 0.177, -2.23e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[-5.95, -5.39e-14, 16]"
43,0.86,"[-0.404, -3.92e-16, -6.02]","[0.985, -1.77e-16, 0.173, -2.97e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-10.7, -5.16e-14, 18.6]"
44,0.88,"[-0.462, -4.19e-16, -5.93]","[0.985, -1.25e-16, 0.175, -3.8e-17]","[1.05e+03, 1e+03, 1.05e+03, 1e+03]","[0.902, -4.72e-14, 26.9]"
45,0.9,"[-0.487, -4.19e-16, -5.74]","[0.983, -7.77e-17, 0.186, -4.63e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[4.24, -4.1e-14, 31.1]"
46,0.92,"[-0.534, -4.2e-16, -5.6]","[0.98, -3.81e-17, 0.197, -5.36e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[-2.57, -2.98e-14, 19.8]"
47,0.94,"[-0.62, -4.13e-16, -5.56]","[0.981, -8.41e-18, 0.194, -5.91e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-18.1, -2.05e-14, 14.4]"
48,0.96,"[-0.683, -4.02e-16, -5.47]","[0.984, 1.71e-17, 0.179, -6.39e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-15.7, -2.03e-14, 15.6]"
49,0.98,"[-0.75, -3.82e-16, -5.41]","[0.984, 4.26e-17, 0.177, -6.82e-17]","[1.09e+03, 1e+03, 1.09e+03, 1e+03]","[-1.52, -1.66e-14, 23.8]"
50,1,"[-0.777, -3.75e-16, -5.23]","[0.982, 6.26e-17, 0.187, -7.03e-17]","[1e+03, 1.12e+03, 1e+03, 1.12e+03]","[3.1, -1.23e-14, 31]"
51,1.02,"[-0.807, -3.65e-16, -5.06]","[0.98, 7.87e-17, 0.199, -7.14e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[0.119, -6.81e-15, 22.9]"
52,1.04,"[-0.884, -3.27e-16, -5]","[0.98, 8.7e-17, 0.201, -7.24e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[-12.8, -7.8e-18, 12.1]"
53,1.06,"[-0.964, -2.85e-16, -4.95]","[0.983, 8.52e-17, 0.184, -7.42e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-23.7, 5.54e-15, 16.6]"
54,1.08,"[-1.03, -2.5e-16, -4.89]","[0.986, 8.09e-17, 0.166, -7.56e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-13.8, 4.72e-15, 14.1]"
55,1.1,"[-1.09, -2.15e-16, -4.83]","[0.986, 7.94e-17, 0.166, -7.56e-17]","[1.09e+03, 1e+03, 1.09e+03, 1e+03]","[0.178, 3.21e-15, 24.1]"
56,1.12,"[-1.11, -2.07e-16, -4.66]","[0.984, 7.93e-17, 0.177, -7.46e-17]","[1e+03, 1.11e+03, 1e+03, 1.11e+03]","[3.77, 2.57e-15, 30]"
