n,t,v,q,pwm,fa
31,0.62,"[-0.0128, 6.94e-16, -0.0191]","[1, 1.43e-15, 0.00302, 1.09e-16]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0911, -2.27e-32, 2.01e-05]"
32,0.64,"[-0.0149, 1.17e-15, 0.0263]","[1, 1.67e-15, 0.00314, 1.39e-16]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0908, -8.8e-32, -3.77e-05]"
33,0.66,"[-0.0171, 1.44e-15, 0.0711]","[1, -2.6e-16, 0.00327, 4.61e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0905, -1.09e-31, -0.000277]"
34,0.68,"[-0.0149, 1.24e-15, 0.0336]","[1, 3.88e-15, 0.00336, 3.34e-16]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0908, -1.25e-31, -6.16e-05]"
35,0.7,"[-0.00986, 2.57e-15, -0.0942]","[1, 1.06e-14, 0.00327, 9.77e-16]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0916, -1.91e-32, 0.000489]"
36,0.72,"[-0.012, 6.86e-15, -0.0487]","[1, 1.87e-14, 0.00321, 1.72e-15]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0913, -1.42e-30, 0.000131]"
37,0.74,"[-0.0142, 1.41e-14, -0.00314]","[1, 2.99e-14, 0.00323, 2.64e-15]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0909, -1.08e-29, 5.76e-07]"
38,0.76,"[-0.0164, 2.45e-14, 0.042]","[1, 3.11e-14, 0.00333, 2.99e-15]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0906, -4.07e-29, -9.67e-05]"
39,0.78,"[-0.0186, 2.48e-14, 0.0869]","[1, -2.34e-14, 0.00344, 1.92e-16]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0902, -2.38e-29, -0.000414]"
40,0.8,"[-0.0133, 4.42e-14, -0.01]","[1, 2.54e-13, 0.00346, 1.98e-14]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0911, -8.62e-29, 5.63e-06]"
