n,t,v,q,pwm,fa
0,0,"[0, 0, 0]","[1, 0, 0, 0]","[2e+03, 1e+03, 2e+03, 1e+03]","[-3.97, 0, 0]"
1,0.02,"[-0.0387, -6.31e-22, -0.0195]","[1, -2.6e-20, 0.000674, -9.36e-22]","[1e+03, 2e+03, 1e+03, 2e+03]","[-3.94, -5.26e-45, 2.09e-05]"
2,0.04,"[-0.0688, -1.23e-20, -0.0226]","[1, -8.02e-20, 0.00112, -1.85e-21]","[1e+03, 2e+03, 1e+03, 2e+03]","[-3.91, 4.33e-42, 2.85e-05]"
3,0.06,"[-0.109, 8.09e-19, 0.0029]","[1, 7.27e-18, 0.00128, 4.4e-19]","[1e+03, 2e+03, 1e+03, 2e+03]","[-3.87, -4.92e-38, -3.79e-07]"
4,0.08,"[-0.143, -4.6e-17, -0.0152]","[1, 5.04e-16, 0.00126, 2.37e-16]","[1e+03, 2e+03, 1e+03, 2e+03]","[-3.84, -2.17e-36, 1.33e-05]"
5,0.1,"[-0.194, 2.33e-14, 0.00626]","[1, 1.86e-12, 0.00108, 2.2e-13]","[2e+03, 1e+03, 2e+03, 1e+03]","[-3.79, -9.48e-28, -1.88e-06]"
6,0.12,"[-0.244, -7.41e-12, 0.0223]","[1, -1.92e-10, 0.000713, -9.84e-12]","[2e+03, 1.19e+03, 2e+03, 1.19e+03]","[-3.75, 2.36e-23, -2.65e-05]"
7,0.14,"[-0.237, 6.44e-09, -0.039]","[1, -1.13e-08, 0.000231, -2.88e-08]","[1.01e+03, 2e+03, 1e+03, 2e+03]","[-3.75, 2.22e-18, 8.41e-05]"
8,0.16,"[-0.287, -2.92e-06, -0.0576]","[1, -3.03e-05, -0.000377, 1.43e-07]","[2e+03, 1e+03, 1.41e+03, 1.71e+03]","[-3.71, -2.3e-14, 0.000181]"
9,0.18,"[-0.335, -5.74e-05, -0.101]","[1, -0.000188, -0.00121, -2.57e-05]","[1.54e+03, 1.91e+03, 2e+03, 1e+03]","[-3.67, 7.47e-11, 0.000554]"
10,0.2,"[-0.382, -0.000157, -0.162]","[1, -0.000194, -0.00226, -3.88e-05]","[2e+03, 1e+03, 1.9e+03, 1.9e+03]","[-3.62, 8.44e-10, 0.00141]"
11,0.22,"[-0.428, -0.000234, -0.224]","[1, -9.97e-05, -0.00352, -4.14e-05]","[1e+03, 2e+03, 1.95e+03, 1.95e+03]","[-3.58, 2.79e-09, 0.00269]"
12,0.24,"[-0.473, -0.000247, -0.275]","[1, 1.56e-05, -0.00492, -5.11e-05]","[1.62e+03, 1.62e+03, 2e+03, 1e+03]","[-3.54, 5.07e-09, 0.00401]"
13,0.26,"[-0.517, -0.000229, -0.325]","[1, 3.73e-05, -0.00648, -6.87e-05]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-3.5, 5.76e-09, 0.00558]"
14,0.28,"[-0.559, -0.000195, -0.375]","[1, 6.51e-05, -0.0081, -7.97e-05]","[2e+03, 1e+03, 2e+03, 2e+03]","[-3.46, 6.07e-09, 0.00734]"
15,0.3,"[-0.6, -0.000164, -0.43]","[1, 2.34e-05, -0.00987, -0.0001]","[1e+03, 2e+03, 2e+03, 2e+03]","[-3.43, 5.07e-09, 0.00963]"
16,0.32,"[-0.64, -0.000155, -0.485]","[1, 8.55e-06, -0.0117, -0.000131]","[1.04e+03, 2e+03, 2e+03, 1e+03]","[-3.39, 5.99e-09, 0.0121]"
17,0.34,"[-0.678, -9.96e-05, -0.536]","[1, 0.00017, -0.0137, -0.000142]","[2e+03, 2e+03, 1e+03, 2e+03]","[-3.35, 1.21e-08, 0.0147]"
18,0.36,"[-0.715, 2.84e-05, -0.586]","[1, 0.000306, -0.0157, -0.000143]","[2e+03, 1e+03, 2e+03, 2e+03]","[-3.32, 1.51e-08, 0.0175]"
19,0.38,"[-0.75, 0.000195, -0.653]","[1, 0.000296, -0.0178, -0.000133]","[2e+03, 1e+03, 1.64e+03, 1.64e+03]","[-3.28, 7.9e-09, 0.0215]"
20,0.4,"[-0.783, 0.000369, -0.722]","[1, 0.000321, -0.0201, -0.000112]","[1e+03, 2e+03, 2e+03, 2e+03]","[-3.25, 3.61e-09, 0.0262]"
21,0.42,"[-0.814, 0.000527, -0.794]","[1, 0.000242, -0.0224, -7.74e-05]","[1e+03, 2e+03, 1.5e+03, 1.5e+03]","[-3.22, -4.51e-11, 0.0315]"
22,0.44,"[-0.844, 0.000637, -0.86]","[1, 0.000184, -0.0246, -5.94e-05]","[1e+03, 2e+03, 1.5e+03, 1.5e+03]","[-3.19, -2.94e-09, 0.0367]"
23,0.46,"[-0.873, 0.000705, -0.918]","[1, 6.38e-05, -0.0269, -6.37e-05]","[1e+03, 2e+03, 2e+03, 2e+03]","[-3.16, -1.28e-08, 0.0416]"
24,0.48,"[-0.9, 0.000708, -0.99]","[1, -6.09e-05, -0.0293, -7.26e-05]","[1.5e+03, 1.5e+03, 2e+03, 1e+03]","[-3.13, -2.68e-08, 0.0481]"
25,0.5,"[-0.924, 0.00064, -1.07]","[0.999, -0.00017, -0.0318, -5.8e-05]","[1.1e+03, 2e+03, 2e+03, 1e+03]","[-3.1, -4.35e-08, 0.0558]"
26,0.52,"[-0.947, 0.00057, -1.14]","[0.999, -9.09e-05, -0.0344, -2.78e-05]","[2e+03, 2e+03, 1e+03, 2e+03]","[-3.07, -2.86e-08, 0.0634]"
27,0.54,"[-0.97, 0.000541, -1.19]","[0.999, -3.05e-05, -0.0369, -9.7e-06]","[2e+03, 2e+03, 1e+03, 2e+03]","[-3.05, -1.94e-08, 0.0688]"
28,0.56,"[-0.99, 0.000537, -1.25]","[0.999, -1.59e-05, -0.0395, 2.67e-05]","[1.94e+03, 1.94e+03, 1e+03, 2e+03]","[-3.02, -2.16e-08, 0.0753]"
29,0.58,"[-1.01, 0.000515, -1.32]","[0.999, -6.32e-05, -0.0421, 6.97e-05]","[1.5e+03, 1.5e+03, 2e+03, 1e+03]","[-3, -3.6e-08, 0.0838]"
30,0.6,"[-1.02, 0.000451, -1.4]","[0.999, -0.000189, -0.0446, 0.000128]","[1e+03, 2e+03, 2e+03, 1.15e+03]","[-2.98, -8.01e-08, 0.0927]"
31,0.62,"[-1.04, 0.000359, -1.47]","[0.999, -0.000133, -0.0472, 0.000199]","[1e+03, 2e+03, 2e+03, 2e+03]","[-2.95, -6.94e-08, 0.103]"
32,0.64,"[-1.05, 0.000293, -1.56]","[0.999, -0.000114, -0.0499, 0.000253]","[1.6e+03, 1.6e+03, 2e+03, 1e+03]","[-2.93, -6.98e-08, 0.115]"
33,0.66,"[-1.06, 0.000207, -1.61]","[0.999, -0.00024, -0.0525, 0.000265]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-2.91, -1.19e-07, 0.123]"
34,0.68,"[-1.08, 8.46e-05, -1.66]","[0.998, -0.000259, -0.0552, 0.000296]","[2e+03, 1e+03, 1.8e+03, 1.2e+03]","[-2.89, -1.23e-07, 0.13]"
35,0.7,"[-1.08, -4.56e-05, -1.72]","[0.998, -0.000285, -0.0578, 0.000299]","[1.11e+03, 2e+03, 2e+03, 1e+03]","[-2.87, -1.21e-07, 0.138]"
36,0.72,"[-1.09, -0.00019, -1.78]","[0.998, -0.000278, -0.0605, 0.000311]","[1.67e+03, 1.67e+03, 2e+03, 1e+03]","[-2.85, -1.03e-07, 0.147]"
37,0.74,"[-1.1, -0.000296, -1.84]","[0.998, -0.000156, -0.0631, 0.00035]","[2e+03, 2e+03, 1e+03, 2e+03]","[-2.83, -4.9e-08, 0.157]"
38,0.76,"[-1.1, -0.000329, -1.91]","[0.998, -2.34e-05, -0.0657, 0.000403]","[1.99e+03, 1.99e+03, 2e+03, 1e+03]","[-2.82, -1.66e-08, 0.167]"
39,0.78,"[-1.1, -0.000317, -1.97]","[0.998, -1.08e-05, -0.0683, 0.000464]","[1e+03, 2e+03, 2e+03, 2e+03]","[-2.8, -2.19e-08, 0.178]"
40,0.8,"[-1.11, -0.000323, -2.02]","[0.997, -6.58e-05, -0.0709, 0.000504]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-2.79, -4.56e-08, 0.187]"
41,0.82,"[-1.11, -0.000349, -2.06]","[0.997, -0.000103, -0.0735, 0.000536]","[1.94e+03, 1.94e+03, 1e+03, 2e+03]","[-2.77, -6.56e-08, 0.194]"
42,0.84,"[-1.11, -0.000352, -2.13]","[0.997, -1.01e-05, -0.0761, 0.000559]","[2e+03, 2e+03, 1e+03, 2e+03]","[-2.76, -3.15e-08, 0.207]"
43,0.86,"[-1.1, -0.000304, -2.22]","[0.997, 4.92e-05, -0.0788, 0.000583]","[2e+03, 1e+03, 2e+03, 2e+03]","[-2.75, -1.86e-08, 0.223]"
44,0.88,"[-1.09, -0.000256, -2.29]","[0.997, -8.49e-06, -0.0814, 0.000617]","[1.86e+03, 1.14e+03, 2e+03, 1.24e+03]","[-2.73, -4.59e-08, 0.239]"
45,0.9,"[-1.09, -0.000237, -2.34]","[0.996, -3.99e-05, -0.0839, 0.000653]","[1.73e+03, 1.73e+03, 2e+03, 1e+03]","[-2.72, -6.93e-08, 0.248]"
46,0.92,"[-1.08, -0.000223, -2.39]","[0.996, -1.91e-05, -0.0865, 0.000668]","[2e+03, 1e+03, 2e+03, 2e+03]","[-2.71, -6.09e-08, 0.259]"
47,0.94,"[-1.07, -0.000177, -2.46]","[0.996, -9.57e-06, -0.0891, 0.000666]","[1e+03, 2e+03, 2e+03, 2e+03]","[-2.7, -5.76e-08, 0.274]"
48,0.96,"[-1.06, -0.000169, -2.52]","[0.996, -0.000119, -0.0916, 0.000625]","[2e+03, 2e+03, 2e+03, 1e+03]","[-2.69, -1.16e-07, 0.287]"
49,0.98,"[-1.05, -0.000188, -2.59]","[0.996, -0.000127, -0.0941, 0.000578]","[2e+03, 1e+03, 1.5e+03, 1.5e+03]","[-2.69, -1.04e-07, 0.303]"
50,1,"[-1.03, -0.000208, -2.66]","[0.995, -0.000101, -0.0966, 0.000515]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-2.68, -6.82e-08, 0.319]"
51,1.02,"[-1.02, -0.000196, -2.72]","[0.995, -1.77e-05, -0.0992, 0.000488]","[2e+03, 1e+03, 2e+03, 2e+03]","[-2.67, -2.28e-08, 0.333]"
52,1.04,"[-1, -0.000166, -2.76]","[0.995, -3.5e-05, -0.102, 0.000489]","[2e+03, 2e+03, 2e+03, 1e+03]","[-2.66, -3.03e-08, 0.345]"
53,1.06,"[-0.986, -0.000154, -2.82]","[0.995, -7.34e-05, -0.104, 0.000496]","[2e+03, 1e+03, 1.24e+03, 2e+03]","[-2.66, -4.89e-08, 0.359]"
54,1.08,"[-0.968, -0.000166, -2.87]","[0.994, -0.000146, -0.107, 0.000504]","[2e+03, 1.64e+03, 1.13e+03, 1.87e+03]","[-2.65, -9.48e-08, 0.372]"
55,1.1,"[-0.951, -0.000213, -2.92]","[0.994, -0.000239, -0.109, 0.000498]","[2e+03, 1e+03, 1.94e+03, 1.94e+03]","[-2.65, -1.68e-07, 0.384]"
56,1.12,"[-0.93, -0.000287, -2.98]","[0.994, -0.00023, -0.112, 0.000512]","[2e+03, 2e+03, 2e+03, 1e+03]","[-2.64, -1.46e-07, 0.4]"
57,1.14,"[-0.911, -0.000332, -3.02]","[0.993, -0.000181, -0.114, 0.000553]","[1.69e+03, 2e+03, 2e+03, 1e+03]","[-2.64, -9.97e-08, 0.41]"
58,1.16,"[-0.89, -0.000346, -3.07]","[0.993, -0.000103, -0.116, 0.00059]","[2e+03, 2e+03, 2e+03, 1e+03]","[-2.64, -4.51e-08, 0.424]"
59,1.18,"[-0.864, -0.000292, -3.13]","[0.993, 3.46e-05, -0.119, 0.000619]","[1.5e+03, 1.5e+03, 2e+03, 1e+03]","[-2.64, -1.25e-09, 0.442]"
