n,t,v,q,pwm,fa
0,0,"[0, 0, 0]","[1, 0, 0, 0]","[2e+03, 1e+03, 2e+03, 1e+03]","[-1.32, 0, 0]"
1,0.02,"[-0.0129, -1.25e-22, -0.0169]","[1, -3.03e-21, 0.000158, 1.06e-21]","[2e+03, 1e+03, 2e+03, 1e+03]","[-1.31, -1.13e-48, 1.57e-05]"
2,0.04,"[-0.0238, 5.45e-20, -0.0127]","[1, 9.02e-19, 0.000235, -1.02e-19]","[2e+03, 1e+03, 2e+03, 1e+03]","[-1.31, -3.93e-41, 8.84e-06]"
3,0.06,"[-0.0336, -9.94e-18, -0.024]","[1, -1.71e-16, 0.000362, 1.68e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-1.3, 2.03e-38, 3.19e-05]"
4,0.08,"[-0.0508, 1.29e-15, 0.0156]","[1, 2.55e-14, 0.000494, 1.86e-15]","[2e+03, 1e+03, 2e+03, 1e+03]","[-1.29, -2.85e-31, -1.34e-05]"
5,0.1,"[-0.0571, -3.11e-12, -0.0233]","[1, -1.08e-11, 0.000589, -1.7e-12]","[2e+03, 1e+03, 2e+03, 1e+03]","[-1.29, 4.33e-25, 3.01e-05]"
6,0.12,"[-0.0743, 5.25e-11, -0.00478]","[1, 1.42e-09, 0.000671, 2.62e-10]","[2e+03, 1e+03, 2e+03, 1e+03]","[-1.28, -3.32e-22, 1.31e-06]"
7,0.14,"[-0.0914, 2.04e-08, 0.0186]","[1, 2.75e-07, 0.000701, 1.83e-07]","[2e+03, 1e+03, 2e+03, 1.61e+03]","[-1.27, -2.26e-16, -1.88e-05]"
8,0.16,"[-0.0892, -4.77e-07, -0.0356]","[1, -1.74e-06, 0.00066, 9.15e-06]","[1e+03, 2e+03, 2e+03, 2e+03]","[-1.27, -9e-14, 7.01e-05]"
9,0.18,"[-0.106, 5.45e-06, -0.0474]","[1, 3.15e-05, 0.000455, 5.93e-05]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-1.26, -1.25e-11, 0.000124]"
10,0.2,"[-0.123, 2.68e-05, -0.0621]","[1, 5.44e-05, 0.000149, 0.000152]","[1.97e+03, 1.97e+03, 1e+03, 2e+03]","[-1.26, -1.81e-10, 0.000212]"
11,0.22,"[-0.139, 1.98e-05, -0.113]","[1, -7.33e-05, -0.000184, 0.000218]","[1e+03, 2e+03, 1.98e+03, 1.98e+03]","[-1.25, -5.18e-10, 0.000698]"
12,0.24,"[-0.156, -7.11e-05, -0.177]","[1, -0.000221, -0.000571, 0.000247]","[1.9e+03, 1.9e+03, 2e+03, 1e+03]","[-1.24, -3.89e-10, 0.00172]"
13,0.26,"[-0.171, -0.000223, -0.267]","[1, -0.000234, -0.00109, 0.000262]","[1.87e+03, 1.87e+03, 2e+03, 1e+03]","[-1.23, 4.37e-12, 0.0039]"
14,0.28,"[-0.187, -0.000355, -0.37]","[1, -0.000183, -0.00162, 0.000276]","[1.81e+03, 1.81e+03, 2e+03, 1e+03]","[-1.22, 7.52e-10, 0.00749]"
