n,t,v,q,pwm,fa
0,0,"[0, 0, 0]","[1, 0, 0, 0]","[2e+03, 1e+03, 2e+03, 1e+03]","[-2.05, 0, 0]"
1,0.02,"[-0.02, 1.26e-21, -0.0184]","[1, 6.9e-20, 0.000277, 6.27e-21]","[2e+03, 1e+03, 2e+03, 1e+03]","[-2.03, 5.73e-44, 1.85e-05]"
2,0.04,"[-0.0342, 2.89e-20, -0.0286]","[1, 2.8e-19, 0.000445, 2.3e-20]","[1e+03, 2e+03, 1e+03, 2e+03]","[-2.02, -1.14e-41, 4.52e-05]"
3,0.06,"[-0.0598, 1.16e-19, 0.03]","[1, 1.74e-19, 0.000549, 1.2e-20]","[2e+03, 1e+03, 2e+03, 1e+03]","[-2.01, -9.06e-40, -4.93e-05]"
4,0.08,"[-0.0672, 5e-21, -0.0185]","[1, 6.81e-19, 0.000608, -5.36e-21]","[1e+03, 2e+03, 1e+03, 2e+03]","[-2, 2.41e-41, 1.89e-05]"
5,0.1,"[-0.0938, 7.93e-18, 0.0145]","[1, 3.77e-17, 0.000617, 1.54e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[-1.98, -7.8e-36, -1.14e-05]"
6,0.12,"[-0.096, 9.36e-18, -0.0354]","[1, -7.49e-15, 0.000566, 1.79e-15]","[1e+03, 2e+03, 1e+03, 2e+03]","[-1.98, -4.29e-32, 6.92e-05]"
7,0.14,"[-0.122, -7.54e-13, -0.0204]","[1, -2.92e-11, 0.00048, 1.77e-12]","[2e+03, 1.76e+03, 2e+03, 1.76e+03]","[-1.97, -4.22e-26, 2.32e-05]"
8,0.16,"[-0.148, 9.93e-11, -0.0107]","[1, -3.75e-09, 0.000249, -1.38e-10]","[2e+03, 2e+03, 2e+03, 2e+03]","[-1.95, -1.06e-21, 6.34e-06]"
9,0.18,"[-0.174, 7.97e-09, -0.00097]","[1, -4.62e-08, -7.36e-05, -9.17e-07]","[2e+03, 1.84e+03, 2e+03, 1e+03]","[-1.93, 5.32e-15, 4.91e-08]"
10,0.2,"[-0.199, -6.27e-06, -0.0367]","[1, -4.36e-05, -0.000601, -4.22e-06]","[1e+03, 2e+03, 1.5e+03, 1.5e+03]","[-1.92, 1.25e-12, 7.29e-05]"
11,0.22,"[-0.224, -3.92e-05, -0.0783]","[1, -9.84e-05, -0.00122, -3.3e-05]","[1e+03, 2e+03, 2e+03, 2e+03]","[-1.9, 8.21e-11, 0.000333]"
12,0.24,"[-0.248, -0.000128, -0.127]","[1, -0.000265, -0.00197, -7.7e-05]","[1e+03, 2e+03, 1.5e+03, 1.5e+03]","[-1.88, 5.39e-10, 0.00088]"
13,0.26,"[-0.272, -0.000268, -0.16]","[1, -0.000332, -0.00282, -0.000157]","[1e+03, 2e+03, 1.5e+03, 1.5e+03]","[-1.87, 3.36e-09, 0.00139]"
14,0.28,"[-0.295, -0.000412, -0.208]","[1, -0.00029, -0.00372, -0.000248]","[2e+03, 2e+03, 2e+03, 1e+03]","[-1.85, 1.06e-08, 0.00233]"
15,0.3,"[-0.317, -0.000537, -0.272]","[1, -0.000229, -0.00465, -0.000339]","[2e+03, 1e+03, 2e+03, 2e+03]","[-1.84, 2.17e-08, 0.00398]"
16,0.32,"[-0.338, -0.000629, -0.333]","[1, -0.000178, -0.00568, -0.000442]","[2e+03, 2e+03, 2e+03, 1e+03]","[-1.82, 3.6e-08, 0.00595]"
17,0.34,"[-0.359, -0.000661, -0.408]","[1, -3.32e-05, -0.00676, -0.00053]","[2e+03, 1e+03, 1.09e+03, 2e+03]","[-1.81, 5.64e-08, 0.00893]"
18,0.36,"[-0.379, -0.000683, -0.48]","[1, -0.000123, -0.00786, -0.000613]","[2e+03, 1.37e+03, 1e+03, 2e+03]","[-1.8, 5.79e-08, 0.0123]"
19,0.38,"[-0.398, -0.000737, -0.539]","[1, -0.000139, -0.00896, -0.000667]","[2e+03, 1.48e+03, 1e+03, 2e+03]","[-1.78, 6.81e-08, 0.0156]"
20,0.4,"[-0.417, -0.000763, -0.597]","[1, -6.56e-05, -0.0102, -0.000692]","[1.72e+03, 1.72e+03, 2e+03, 1e+03]","[-1.77, 8.64e-08, 0.019]"
21,0.42,"[-0.435, -0.000796, -0.646]","[1, -0.000169, -0.0114, -0.000727]","[2e+03, 1e+03, 1.82e+03, 2e+03]","[-1.76, 7.93e-08, 0.0222]"
22,0.44,"[-0.451, -0.000903, -0.719]","[1, -0.000285, -0.0126, -0.000776]","[2e+03, 2e+03, 1e+03, 2e+03]","[-1.74, 7.7e-08, 0.0275]"
23,0.46,"[-0.467, -0.00102, -0.806]","[1, -0.000215, -0.0139, -0.000828]","[1.99e+03, 1.99e+03, 1e+03, 2e+03]","[-1.73, 1.13e-07, 0.0346]"
24,0.48,"[-0.482, -0.00113, -0.885]","[1, -0.000267, -0.0152, -0.000886]","[1.87e+03, 1.87e+03, 1e+03, 2e+03]","[-1.72, 1.23e-07, 0.0416]"
25,0.5,"[-0.495, -0.0013, -0.97]","[1, -0.000393, -0.0164, -0.000946]","[1e+03, 2e+03, 1.5e+03, 1.5e+03]","[-1.71, 1.16e-07, 0.05]"
26,0.52,"[-0.509, -0.00151, -1.04]","[1, -0.000444, -0.0177, -0.00103]","[1e+03, 2e+03, 2e+03, 2e+03]","[-1.7, 1.42e-07, 0.0569]"
27,0.54,"[-0.521, -0.00175, -1.11]","[1, -0.000514, -0.019, -0.00111]","[2e+03, 2e+03, 2e+03, 1e+03]","[-1.69, 1.64e-07, 0.0657]"
28,0.56,"[-0.533, -0.00203, -1.17]","[1, -0.000665, -0.0204, -0.00121]","[2e+03, 1e+03, 1.5e+03, 1.5e+03]","[-1.68, 1.64e-07, 0.0727]"
29,0.58,"[-0.545, -0.00236, -1.23]","[1, -0.0007, -0.0217, -0.00133]","[2e+03, 1e+03, 1.5e+03, 1.5e+03]","[-1.67, 2.28e-07, 0.0792]"
30,0.6,"[-0.556, -0.00267, -1.27]","[1, -0.000721, -0.0231, -0.00147]","[1e+03, 2e+03, 1.5e+03, 1.5e+03]","[-1.66, 3.21e-07, 0.0843]"
31,0.62,"[-0.567, -0.00303, -1.31]","[1, -0.000792, -0.0245, -0.00162]","[1e+03, 2e+03, 2e+03, 2e+03]","[-1.65, 4.03e-07, 0.0906]"
32,0.64,"[-0.575, -0.00343, -1.37]","[1, -0.000828, -0.0259, -0.00178]","[2e+03, 1e+03, 1.37e+03, 1.63e+03]","[-1.64, 5.31e-07, 0.0987]"
33,0.66,"[-0.584, -0.00384, -1.42]","[1, -0.000843, -0.0272, -0.00194]","[1.5e+03, 1.5e+03, 2e+03, 1e+03]","[-1.63, 7.1e-07, 0.106]"
34,0.68,"[-0.592, -0.00422, -1.46]","[1, -0.000779, -0.0286, -0.00205]","[1.52e+03, 2e+03, 2e+03, 1e+03]","[-1.62, 9.86e-07, 0.112]"
35,0.7,"[-0.6, -0.00453, -1.49]","[1, -0.000648, -0.03, -0.00213]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-1.61, 1.37e-06, 0.116]"
36,0.72,"[-0.608, -0.00478, -1.51]","[1, -0.000525, -0.0314, -0.00215]","[1.5e+03, 1.5e+03, 2e+03, 1e+03]","[-1.6, 1.74e-06, 0.119]"
37,0.74,"[-0.615, -0.00499, -1.54]","[0.999, -0.000378, -0.0328, -0.00215]","[1.82e+03, 2e+03, 2e+03, 1e+03]","[-1.6, 2.16e-06, 0.123]"
38,0.76,"[-0.62, -0.00516, -1.58]","[0.999, -0.000325, -0.0342, -0.00217]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-1.59, 2.41e-06, 0.13]"
39,0.78,"[-0.626, -0.00529, -1.6]","[0.999, -0.000232, -0.0356, -0.00218]","[2e+03, 1e+03, 1.78e+03, 1.22e+03]","[-1.58, 2.73e-06, 0.132]"
40,0.8,"[-0.631, -0.00538, -1.62]","[0.999, -0.000131, -0.037, -0.00221]","[1e+03, 2e+03, 2e+03, 2e+03]","[-1.57, 3.09e-06, 0.136]"
41,0.82,"[-0.633, -0.00546, -1.68]","[0.999, -2.72e-05, -0.0384, -0.00222]","[1e+03, 2e+03, 2e+03, 2e+03]","[-1.57, 3.43e-06, 0.146]"
