n,t,v,q,pwm,fa
31,0.62,"[-0.142, 2.1e-16, -7.43]","[0.979, -2.13e-16, -0.203, 3.77e-17]","[1.53e+03, 1.52e+03, 1.53e+03, 1.52e+03]","[-14.5, 1.86e-14, 15.9]"
32,0.64,"[-0.125, 1.89e-16, -7.29]","[0.976, -2.35e-16, -0.217, 3.68e-17]","[1.51e+03, 1.49e+03, 1.51e+03, 1.49e+03]","[-12.3, 1.49e-14, 21.5]"
33,0.66,"[-0.0999, 1.61e-16, -7.16]","[0.973, -2.53e-16, -0.229, 3.62e-17]","[1.12e+03, 1.08e+03, 1.12e+03, 1.08e+03]","[-6.31, 7.03e-15, 27.1]"
34,0.68,"[-0.0812, 1.39e-16, -7.01]","[0.971, -2.69e-16, -0.24, 3.62e-17]","[1.52e+03, 1.51e+03, 1.52e+03, 1.51e+03]","[-9.34, 7.53e-15, 16.2]"
35,0.7,"[-0.0525, 1.09e-16, -6.88]","[0.968, -2.81e-16, -0.25, 3.66e-17]","[1.38e+03, 1.36e+03, 1.38e+03, 1.36e+03]","[-6.39, 2.77e-15, 21]"
36,0.72,"[-0.021, 7.66e-17, -6.75]","[0.966, -2.89e-16, -0.259, 3.77e-17]","[1.28e+03, 1.26e+03, 1.28e+03, 1.26e+03]","[-4.02, -1.79e-15, 20.5]"
37,0.74,"[0.013, 4.3e-17, -6.63]","[0.964, -2.93e-16, -0.265, 3.92e-17]","[1.41e+03, 1e+03, 1.41e+03, 1e+03]","[1.85, -6.07e-15, 20.7]"
38,0.76,"[0.0442, 1.23e-17, -6.49]","[0.964, -2.89e-16, -0.265, 3.99e-17]","[1.55e+03, 1.33e+03, 1.55e+03, 1.33e+03]","[5.13, -6.82e-15, 9.33]"
39,0.78,"[0.0793, -2.19e-17, -6.37]","[0.966, -2.78e-16, -0.258, 4.02e-17]","[1.48e+03, 1.35e+03, 1.48e+03, 1.35e+03]","[10.9, -1.08e-14, 8.89]"
40,0.8,"[0.114, -5.68e-17, -6.25]","[0.97, -2.59e-16, -0.245, 4.03e-17]","[1.29e+03, 1.24e+03, 1.29e+03, 1.24e+03]","[17.6, -1.64e-14, 8.78]"
41,0.82,"[0.142, -8.67e-17, -6.13]","[0.974, -2.35e-16, -0.226, 4.05e-17]","[1.54e+03, 1.33e+03, 1.54e+03, 1.33e+03]","[19.1, -1.8e-14, 3.5]"
42,0.84,"[0.167, -1.16e-16, -6.01]","[0.979, -2.06e-16, -0.203, 4.07e-17]","[1.47e+03, 1.4e+03, 1.47e+03, 1.4e+03]","[21.8, -2.13e-14, 4.62]"
43,0.86,"[0.188, -1.44e-16, -5.89]","[0.984, -1.75e-16, -0.178, 4.12e-17]","[1.22e+03, 1.41e+03, 1.22e+03, 1.41e+03]","[24.7, -2.47e-14, 7.84]"
44,0.88,"[0.201, -1.66e-16, -5.78]","[0.989, -1.43e-16, -0.15, 4.18e-17]","[1.36e+03, 1.41e+03, 1.36e+03, 1.41e+03]","[24.1, -2.54e-14, 6.84]"
45,0.9,"[0.208, -1.85e-16, -5.67]","[0.992, -1.1e-16, -0.123, 4.26e-17]","[1.38e+03, 1.46e+03, 1.38e+03, 1.46e+03]","[22.9, -2.6e-14, 8.18]"
46,0.92,"[0.208, -2e-16, -5.56]","[0.995, -7.72e-17, -0.0962, 4.36e-17]","[1.23e+03, 1.47e+03, 1.23e+03, 1.47e+03]","[21.3, -2.61e-14, 11.2]"
47,0.94,"[0.202, -2.11e-16, -5.45]","[0.997, -4.53e-17, -0.0717, 4.47e-17]","[1.28e+03, 1.49e+03, 1.28e+03, 1.49e+03]","[18, -2.5e-14, 11.4]"
48,0.96,"[0.19, -2.17e-16, -5.35]","[0.999, -1.44e-17, -0.0505, 4.59e-17]","[1.27e+03, 1.5e+03, 1.27e+03, 1.5e+03]","[14.3, -2.4e-14, 12.5]"
49,0.98,"[0.173, -2.18e-16, -5.25]","[0.999, 1.52e-17, -0.0334, 4.7e-17]","[1.23e+03, 1.51e+03, 1.23e+03, 1.51e+03]","[10.3, -2.2e-14, 13.3]"
50,1,"[0.152, -2.14e-16, -5.14]","[1, 4.27e-17, -0.0209, 4.8e-17]","[1.26e+03, 1.51e+03, 1.26e+03, 1.51e+03]","[6.04, -1.97e-14, 12.9]"
51,1.02,"[0.128, -2.06e-16, -5.05]","[1, 6.75e-17, -0.0134, 4.88e-17]","[1.26e+03, 1.51e+03, 1.26e+03, 1.51e+03]","[1.97, -1.68e-14, 13]"
52,1.04,"[0.104, -1.92e-16, -4.95]","[1, 8.86e-17, -0.0108, 4.91e-17]","[1.28e+03, 1.5e+03, 1.28e+03, 1.5e+03]","[-1.78, -1.34e-14, 12.7]"
53,1.06,"[0.0792, -1.75e-16, -4.85]","[1, 1.05e-16, -0.0129, 4.9e-17]","[1.3e+03, 1.5e+03, 1.3e+03, 1.5e+03]","[-5.02, -9.52e-15, 12.3]"
54,1.08,"[0.0561, -1.54e-16, -4.76]","[1, 1.17e-16, -0.0191, 4.83e-17]","[1.32e+03, 1.48e+03, 1.32e+03, 1.48e+03]","[-7.63, -5.67e-15, 12.3]"
55,1.1,"[0.0356, -1.31e-16, -4.67]","[1, 1.24e-16, -0.0289, 4.71e-17]","[1.34e+03, 1.47e+03, 1.34e+03, 1.47e+03]","[-9.53, -1.76e-15, 12.4]"
56,1.12,"[0.0185, -1.06e-16, -4.58]","[0.999, 1.25e-16, -0.0413, 4.55e-17]","[1.37e+03, 1.45e+03, 1.37e+03, 1.45e+03]","[-10.7, 1.67e-15, 12.4]"
57,1.14,"[0.0054, -8.03e-17, -4.49]","[0.998, 1.22e-16, -0.0554, 4.34e-17]","[1.39e+03, 1.44e+03, 1.39e+03, 1.44e+03]","[-11.1, 4.7e-15, 12.6]"
58,1.16,"[-0.00324, -5.48e-17, -4.4]","[0.998, 1.15e-16, -0.0703, 4.1e-17]","[1.4e+03, 1.43e+03, 1.4e+03, 1.43e+03]","[-10.9, 7.12e-15, 12.8]"
59,1.18,"[-0.00736, -3.04e-17, -4.32]","[0.996, 1.05e-16, -0.0851, 3.83e-17]","[1.42e+03, 1.41e+03, 1.42e+03, 1.41e+03]","[-10.1, 8.93e-15, 12.8]"
60,1.2,"[-0.00712, -7.9e-18, -4.23]","[0.995, 9.13e-17, -0.099, 3.54e-17]","[1.43e+03, 1.41e+03, 1.43e+03, 1.41e+03]","[-8.89, 1.03e-14, 12.6]"
61,1.22,"[-0.00286, 1.18e-17, -4.15]","[0.994, 7.54e-17, -0.111, 3.25e-17]","[1.44e+03, 1.4e+03, 1.44e+03, 1.4e+03]","[-7.32, 1.12e-14, 12.3]"
62,1.24,"[0.00486, 2.82e-17, -4.07]","[0.993, 5.78e-17, -0.121, 2.96e-17]","[1.45e+03, 1.4e+03, 1.45e+03, 1.4e+03]","[-5.54, 1.17e-14, 11.8]"
63,1.26,"[0.0153, 4.06e-17, -3.99]","[0.992, 3.88e-17, -0.128, 2.67e-17]","[1.45e+03, 1.4e+03, 1.45e+03, 1.4e+03]","[-3.69, 1.19e-14, 11.2]"
64,1.28,"[0.0277, 4.87e-17, -3.92]","[0.991, 1.92e-17, -0.133, 2.39e-17]","[1.45e+03, 1.41e+03, 1.45e+03, 1.41e+03]","[-1.88, 1.16e-14, 10.5]"
