n,t,v,q,pwm,fa
30,0.6,"[9.68e-15, 4.87e-15, -7.47]","[1, -1.3e-14, 2.55e-14, 4.6e-19]","[1.46e+03, 1.46e+03, 1.46e+03, 1.46e+03]","[-1.46e-12, -1.06e-12, 19.2]"
31,0.62,"[6.25e-15, 3.14e-15, -7.34]","[1, -1.24e-14, 2.47e-14, 5.74e-19]","[1e+03, 1e+03, 1e+03, 1e+03]","[-1.48e-12, -8.3e-13, 24.5]"
32,0.64,"[4.69e-15, 2.35e-15, -7.18]","[1, -1.2e-14, 2.4e-14, 6.57e-19]","[1.78e+03, 1.78e+03, 1.78e+03, 1.78e+03]","[-7.07e-13, -3.82e-13, 5.13]"
33,0.66,"[1.5e-15, 7.51e-16, -7.05]","[1, -1.15e-14, 2.29e-14, 7.6e-19]","[1.39e+03, 1.39e+03, 1.39e+03, 1.39e+03]","[-1.59e-12, -8.02e-13, 18.3]"
34,0.68,"[-1.52e-15, -7.57e-16, -6.92]","[1, -1.08e-14, 2.15e-14, 8.56e-19]","[1.09e+03, 1.09e+03, 1.09e+03, 1.09e+03]","[-2.31e-12, -1.16e-12, 22.3]"
35,0.7,"[-3.7e-15, -1.85e-15, -6.78]","[1, -9.85e-15, 1.97e-14, 9.53e-19]","[1.51e+03, 1.51e+03, 1.51e+03, 1.51e+03]","[-2.11e-12, -1.05e-12, 10.8]"
36,0.72,"[-6.22e-15, -3.11e-15, -6.65]","[1, -8.76e-15, 1.75e-14, 1.06e-18]","[1.47e+03, 1.47e+03, 1.47e+03, 1.47e+03]","[-2.44e-12, -1.22e-12, 14.4]"
37,0.74,"[-8.63e-15, -4.32e-15, -6.53]","[1, -7.55e-15, 1.51e-14, 1.16e-18]","[1.23e+03, 1.23e+03, 1.23e+03, 1.23e+03]","[-2.84e-12, -1.42e-12, 19.1]"
38,0.76,"[-1.05e-14, -5.23e-15, -6.4]","[1, -6.23e-15, 1.24e-14, 1.24e-18]","[1.39e+03, 1.39e+03, 1.39e+03, 1.39e+03]","[-2.77e-12, -1.38e-12, 13.8]"
39,0.78,"[-1.2e-14, -6.03e-15, -6.27]","[1, -4.83e-15, 9.63e-15, 1.25e-18]","[1.47e+03, 1.47e+03, 1.47e+03, 1.47e+03]","[-2.74e-12, -1.37e-12, 12.9]"
