n,t,v,q,pwm,fa
31,0.62,"[-0.255, -0.000486, -1.01]","[1, -0.000391, -0.00796, 0.000769]","[2e+03, 1e+03, 2e+03, 2e+03]","[-0.849, -2.55e-08, 0.0556]"
32,0.64,"[-0.261, -0.000698, -1.09]","[1, -0.00034, -0.00867, 0.0008]","[2e+03, 1e+03, 1.85e+03, 1.85e+03]","[-0.845, -1.08e-08, 0.0646]"
33,0.66,"[-0.268, -0.000849, -1.15]","[1, -0.000229, -0.0093, 0.000854]","[2e+03, 1.14e+03, 1e+03, 2e+03]","[-0.841, -7.36e-10, 0.0724]"
34,0.68,"[-0.274, -0.000951, -1.19]","[1, -0.000193, -0.00994, 0.00092]","[2e+03, 2e+03, 1e+03, 2e+03]","[-0.837, 5.11e-12, 0.0772]"
35,0.7,"[-0.28, -0.00105, -1.25]","[1, -0.000187, -0.0107, 0.000955]","[1.94e+03, 1.94e+03, 1e+03, 2e+03]","[-0.834, 3.31e-10, 0.0849]"
36,0.72,"[-0.284, -0.00117, -1.35]","[1, -0.000155, -0.0113, 0.000985]","[1.96e+03, 1.96e+03, 1e+03, 2e+03]","[-0.83, 2.61e-09, 0.0993]"
37,0.74,"[-0.289, -0.00122, -1.43]","[1, -2.33e-05, -0.012, 0.00103]","[1e+03, 2e+03, 2e+03, 2e+03]","[-0.827, 1.9e-08, 0.112]"
38,0.76,"[-0.293, -0.00121, -1.5]","[1, 5.07e-05, -0.0128, 0.0011]","[1e+03, 2e+03, 2e+03, 2e+03]","[-0.823, 3.17e-08, 0.123]"
39,0.78,"[-0.296, -0.00114, -1.6]","[1, 0.000197, -0.0136, 0.00117]","[1.5e+03, 1.5e+03, 2e+03, 1e+03]","[-0.82, 6.96e-08, 0.139]"
40,0.8,"[-0.301, -0.00102, -1.64]","[1, 0.000326, -0.0144, 0.00129]","[2e+03, 2e+03, 2e+03, 1e+03]","[-0.816, 1.03e-07, 0.146]"
41,0.82,"[-0.303, -0.000789, -1.73]","[1, 0.000457, -0.0152, 0.0014]","[1.87e+03, 1.87e+03, 2e+03, 1e+03]","[-0.813, 1.39e-07, 0.162]"
