n,t,v,q,pwm,fa
0,0,"[0, 0, 0]","[1, 0, 0, 0]","[2e+03, 2e+03, 2e+03, 2e+03]","[-3.97, 0, -9.49]"
1,0.02,"[-0.0434, -1.91e-21, -0.0145]","[1, -2.44e-20, 0.000545, 4.38e-22]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-3.92, 6.07e-19, -7.7]"
2,0.04,"[-0.0953, -8.28e-22, -0.109]","[1, 7.99e-20, 0.000576, 1.25e-20]","[1.89e+03, 2e+03, 1.89e+03, 2e+03]","[-3.88, -5.67e-18, -23.9]"
3,0.06,"[-0.147, 1.41e-19, -0.357]","[1, 3.25e-19, 0.000304, 6.38e-20]","[1.88e+03, 2e+03, 1.88e+03, 2e+03]","[-3.85, -3.11e-17, -31.7]"
4,0.08,"[-0.197, 6.94e-19, -0.674]","[1, 7.79e-19, -0.000225, 1.99e-19]","[1.88e+03, 2e+03, 1.88e+03, 2e+03]","[-3.86, -7.07e-17, -34.9]"
5,0.1,"[-0.246, 1.93e-18, -1.02]","[1, 1.6e-18, -0.00101, 4.51e-19]","[1.88e+03, 2e+03, 1.88e+03, 2e+03]","[-3.9, -1.47e-16, -36.2]"
6,0.12,"[-0.294, 4.19e-18, -1.38]","[1, 2.63e-18, -0.00205, 8.11e-19]","[1.88e+03, 2e+03, 1.88e+03, 2e+03]","[-3.98, -2.45e-16, -36.7]"
7,0.14,"[-0.339, 7.62e-18, -1.74]","[1, 3.67e-18, -0.00334, 1.31e-18]","[1.89e+03, 2e+03, 1.89e+03, 2e+03]","[-4.09, -3.32e-16, -36.9]"
8,0.16,"[-0.383, 1.19e-17, -2.1]","[1, 4.28e-18, -0.00489, 2.01e-18]","[1.89e+03, 2e+03, 1.89e+03, 2e+03]","[-4.23, -2.06e-16, -36.9]"
9,0.18,"[-0.423, 1.7e-17, -2.47]","[1, 5.21e-18, -0.00671, 2.81e-18]","[1.89e+03, 2e+03, 1.89e+03, 2e+03]","[-4.41, -6.18e-16, -36.8]"
10,0.2,"[-0.461, 2.32e-17, -2.83]","[1, 6.33e-18, -0.0088, 3.74e-18]","[1.89e+03, 2e+03, 1.89e+03, 2e+03]","[-4.63, -6.12e-16, -36.7]"
11,0.22,"[-0.496, 3.08e-17, -3.19]","[1, 7.64e-18, -0.0112, 4.76e-18]","[1.89e+03, 2e+03, 1.89e+03, 2e+03]","[-4.89, -6.88e-16, -36.6]"
12,0.24,"[-0.528, 3.98e-17, -3.55]","[1, 9.01e-18, -0.0139, 5.94e-18]","[1.89e+03, 2e+03, 1.89e+03, 2e+03]","[-5.19, -8.52e-16, -36.4]"
13,0.26,"[-0.555, 5.02e-17, -3.91]","[1, 1.02e-17, -0.0169, 7.26e-18]","[1.89e+03, 2e+03, 1.89e+03, 2e+03]","[-5.55, -8.63e-16, -36.2]"
14,0.28,"[-0.579, 6.2e-17, -4.27]","[1, 1.15e-17, -0.0202, 8.71e-18]","[1.89e+03, 2e+03, 1.89e+03, 2e+03]","[-5.96, -9.03e-16, -36]"
15,0.3,"[-0.598, 7.52e-17, -4.62]","[1, 1.27e-17, -0.024, 1.03e-17]","[1.89e+03, 2e+03, 1.89e+03, 2e+03]","[-6.45, -9.22e-16, -35.8]"
16,0.32,"[-0.612, 8.97e-17, -4.98]","[1, 1.35e-17, -0.0282, 1.21e-17]","[1.89e+03, 2e+03, 1.89e+03, 2e+03]","[-7.03, -4.36e-16, -35.5]"
17,0.34,"[-0.62, 1.05e-16, -5.33]","[0.999, 1.39e-17, -0.0328, 1.39e-17]","[1.89e+03, 2e+03, 1.89e+03, 2e+03]","[-7.72, -6.05e-16, -35.1]"
18,0.36,"[-0.622, 1.21e-16, -5.68]","[0.999, 1.45e-17, -0.0381, 1.59e-17]","[1.89e+03, 2e+03, 1.89e+03, 2e+03]","[-8.56, -8.2e-16, -34.7]"
19,0.38,"[-0.618, 1.37e-16, -6.02]","[0.999, 1.5e-17, -0.0441, 1.81e-17]","[1.88e+03, 2e+03, 1.88e+03, 2e+03]","[-9.59, -3.87e-16, -34.2]"
20,0.4,"[-0.605, 1.55e-16, -6.36]","[0.999, 1.49e-17, -0.051, 2.05e-17]","[1.88e+03, 2e+03, 1.88e+03, 2e+03]","[-10.9, -2.37e-16, -33.6]"
21,0.42,"[-0.584, 1.73e-16, -6.7]","[0.998, 1.43e-17, -0.0591, 2.29e-17]","[1.87e+03, 2e+03, 1.87e+03, 2e+03]","[-12.6, 7.26e-16, -32.7]"
22,0.44,"[-0.554, 1.9e-16, -7.02]","[0.998, 1.28e-17, -0.0687, 2.55e-17]","[1.86e+03, 2e+03, 1.86e+03, 2e+03]","[-15, 1.89e-15, -31.5]"
23,0.46,"[-0.512, 2.06e-16, -7.34]","[0.997, 9.95e-18, -0.0805, 2.81e-17]","[1.83e+03, 2e+03, 1.83e+03, 2e+03]","[-18.5, 2.94e-15, -29.5]"
24,0.48,"[-0.457, 2.19e-16, -7.64]","[0.995, 5.61e-18, -0.0957, 3.08e-17]","[1.75e+03, 2e+03, 1.75e+03, 2e+03]","[-24.1, 5.34e-15, -26]"
25,0.5,"[-0.392, 2.29e-16, -7.89]","[0.993, -1.48e-18, -0.117, 3.33e-17]","[1.98e+03, 2e+03, 1.98e+03, 2e+03]","[-31.7, 9.82e-15, -14.5]"
26,0.52,"[-0.309, 2.32e-16, -8.12]","[0.99, -1.38e-17, -0.139, 3.52e-17]","[1.95e+03, 2e+03, 1.95e+03, 2e+03]","[-29.2, 1.68e-14, -22.3]"
27,0.54,"[-0.221, 2.27e-16, -8.3]","[0.987, -3.43e-17, -0.159, 3.61e-17]","[1e+03, 1.04e+03, 1e+03, 1.04e+03]","[-19.5, 2.89e-14, 25.4]"
28,0.56,"[-0.227, 2.23e-16, -8.15]","[0.984, -6.26e-17, -0.176, 3.54e-17]","[1e+03, 1.05e+03, 1e+03, 1.05e+03]","[-16, 2.97e-14, 37.4]"
29,0.58,"[-0.255, 2.24e-16, -7.94]","[0.981, -9.14e-17, -0.192, 3.47e-17]","[1e+03, 1.05e+03, 1e+03, 1.05e+03]","[-12.9, 2.64e-14, 38.6]"
30,0.6,"[-0.286, 2.27e-16, -7.72]","[0.978, -1.18e-16, -0.207, 3.43e-17]","[1e+03, 1.05e+03, 1e+03, 1.05e+03]","[-10.1, 2.1e-14, 38]"
31,0.62,"[-0.313, 2.29e-16, -7.51]","[0.976, -1.42e-16, -0.22, 3.49e-17]","[2e+03, 1.87e+03, 2e+03, 1.87e+03]","[-18.3, 1.94e-14, 11.8]"
32,0.64,"[-0.287, 2.06e-16, -7.41]","[0.973, -1.58e-16, -0.232, 3.61e-17]","[1e+03, 1.04e+03, 1e+03, 1.04e+03]","[-6, 7.17e-15, 29.8]"
33,0.66,"[-0.294, 2e-16, -7.24]","[0.97, -1.72e-16, -0.242, 3.69e-17]","[1.75e+03, 1.73e+03, 1.75e+03, 1.73e+03]","[-12.6, 9.47e-15, 16]"
34,0.68,"[-0.272, 1.78e-16, -7.12]","[0.968, -1.82e-16, -0.252, 3.79e-17]","[1e+03, 1.05e+03, 1e+03, 1.05e+03]","[-2.69, 1.34e-15, 29.6]"
35,0.7,"[-0.265, 1.65e-16, -6.97]","[0.965, -1.9e-16, -0.26, 3.89e-17]","[1.55e+03, 1.56e+03, 1.55e+03, 1.56e+03]","[-8.19, 3.08e-15, 14.2]"
